pid,canonical_fail_count,compile_ok,runtime_fail_count,timeout_count,empty_output_count,compare_issue_suspected,notes
p03853,0,,0,0,0,False,
p03854,0,,0,0,0,False,
p03858,0,,0,0,0,False,
p03859,4,,4,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03859/ac_sol.cpp
p03862,0,,0,0,0,False,
p03940,0,,0,0,0,False,
p03944,0,,0,0,0,False,
p03951,0,,0,0,0,False,
p03969,0,,0,0,0,False,
p03988,0,,0,0,0,False,
p03989,0,,0,0,0,False,
p03998,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p03998/ac_sol.cpp
p04000,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p04000/ac_sol.cpp
p04004,1,,1,0,0,False,top_error=Program failed: /data/bc/MyCatcher/AC/p04004/ac_sol.cpp
p04005,0,,0,0,0,False,
p04006,0,,0,0,0,False,
p04010,71,,0,0,0,False,top_error=C++ compile failed: /data/bc/MyCatcher/AC/p04010/ac_sol.cpp
p04012,0,,0,0,0,False,
p04015,0,,0,0,0,False,
p04021,0,,0,0,0,False,
p04028,0,,0,0,0,False,
p04030,0,,0,0,18,False,
p04043,0,,0,0,0,False,
p04047,0,,0,0,0,False,
p04051,0,,0,0,0,False,
