pid,tests,saved,status_AGREE,status_FOUND,status_NO_MAJORITY,status_NO_VARIANT_OUTPUT,status_PUT_FAIL,label_TP,label_FP,label_NOT_FOUND,label_CANONICAL_FAIL,label_NO_ORACLE,label_PUT_FAIL,tp_count,fp_count,oracle_wrong_count,canonical_fail_count,precision,report
p03241,99,0,61,0,38,0,0,0,0,99,0,0,0,0,0,3,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03241/report.txt
p03253,99,3,7,3,89,0,0,0,3,96,0,0,0,0,3,88,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03253/report.txt
p03255,159,4,0,4,155,0,0,0,4,155,0,0,0,0,4,159,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03255/report.txt
p03270,74,0,0,0,74,0,0,0,0,3,0,0,0,0,0,71,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03270/report.txt
p03272,74,1,73,1,0,0,0,1,0,73,0,0,0,1,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03272/report.txt
p03282,142,0,0,0,142,0,0,0,0,132,10,0,0,0,0,14,10,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03282/report.txt
p03284,85,8,62,8,14,1,0,4,4,76,1,0,0,4,4,13,1,0.5,/data/bc/MyCatcher/outputs/tcases/cpp/p03284/report.txt
p03285,58,9,49,9,0,0,0,9,0,49,0,0,0,9,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03285/report.txt
p03290,155,0,0,0,155,0,0,0,0,155,0,0,0,0,0,29,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03290/report.txt
p03292,122,16,106,16,0,0,0,16,0,106,0,0,0,16,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03292/report.txt
p03296,114,0,113,0,1,0,0,0,0,114,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03296/report.txt
p03313,106,0,40,0,66,0,0,0,0,12,0,0,0,0,0,78,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03313/report.txt
p03314,76,0,1,0,75,0,0,0,0,76,0,0,0,0,0,66,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03314/report.txt
p03322,139,12,0,12,126,0,1,0,12,126,0,0,1,0,12,130,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03322/report.txt
p03323,70,22,48,22,0,0,0,22,0,48,0,0,0,22,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03323/report.txt
p03326,111,1,107,1,3,0,0,1,0,110,0,0,0,1,0,3,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03326/report.txt
p03329,44,0,13,0,31,0,0,0,0,44,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03329/report.txt
p03331,85,0,0,0,85,0,0,0,0,85,0,0,0,0,0,1,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03331/report.txt
p03332,127,14,32,14,81,0,0,0,14,113,0,0,0,0,14,63,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03332/report.txt
p03333,143,137,6,137,0,0,0,0,137,6,0,0,0,0,137,137,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03333/report.txt
p03336,175,3,0,3,172,0,0,0,0,0,0,0,0,0,3,111,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03336/report.txt
p03338,70,0,70,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03338/report.txt
p03343,144,0,0,0,144,0,0,0,0,144,0,0,0,0,0,87,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03343/report.txt
p03344,142,0,0,0,142,0,0,0,0,142,0,0,0,0,0,137,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03344/report.txt
p03348,113,0,0,0,113,0,0,0,0,113,0,0,0,0,0,99,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03348/report.txt
p03350,101,2,11,2,88,0,0,0,0,61,0,40,0,0,0,59,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03350/report.txt
p03351,87,6,81,6,0,0,0,6,0,81,0,0,0,6,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03351/report.txt
p03352,48,9,31,9,8,0,0,9,0,39,0,0,0,9,0,8,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03352/report.txt
p03361,117,30,77,30,10,0,0,30,0,87,0,0,0,30,0,41,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03361/report.txt
p03365,27,2,0,2,25,0,0,1,1,25,0,0,0,1,1,26,0,0.5,/data/bc/MyCatcher/outputs/tcases/cpp/p03365/report.txt
p03374,156,26,0,26,130,0,0,16,10,130,0,0,0,16,10,41,0,0.615385,/data/bc/MyCatcher/outputs/tcases/cpp/p03374/report.txt
p03383,123,10,113,10,0,0,0,1,9,113,0,0,0,1,9,12,0,0.1,/data/bc/MyCatcher/outputs/tcases/cpp/p03383/report.txt
p03391,156,56,5,56,95,0,0,0,56,100,0,0,0,0,56,134,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03391/report.txt
p03393,114,77,3,77,34,0,0,0,77,37,0,0,0,0,77,113,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03393/report.txt
p03396,122,0,0,0,122,0,0,0,0,122,0,0,0,0,0,117,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03396/report.txt
p03403,132,0,6,0,126,0,0,0,0,0,0,0,0,0,0,126,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03403/report.txt
p03406,101,7,0,7,94,0,0,3,4,94,0,0,0,3,4,66,0,0.428571,/data/bc/MyCatcher/outputs/tcases/cpp/p03406/report.txt
p03408,134,8,126,8,0,0,0,8,0,126,0,0,0,8,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03408/report.txt
p03421,124,0,42,0,82,0,0,0,0,124,0,0,0,0,0,72,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03421/report.txt
p03424,128,56,72,56,0,0,0,16,40,72,0,0,0,16,40,42,0,0.285714,/data/bc/MyCatcher/outputs/tcases/cpp/p03424/report.txt
p03427,64,42,12,42,10,0,0,0,42,22,0,0,0,0,42,52,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03427/report.txt
p03431,79,1,0,1,78,0,0,0,1,78,0,0,0,0,1,52,0,0.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03431/report.txt
p03434,152,152,0,152,0,0,0,152,0,0,0,0,0,152,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03434/report.txt
p03435,122,32,71,32,19,0,0,4,28,90,0,0,0,4,28,28,0,0.125,/data/bc/MyCatcher/outputs/tcases/cpp/p03435/report.txt
p03452,76,3,69,3,4,0,0,3,0,73,0,0,0,3,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03452/report.txt
p03456,133,14,119,14,0,0,0,14,0,119,0,0,0,14,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03456/report.txt
p03458,126,0,2,0,124,0,0,0,0,126,0,0,0,0,0,78,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03458/report.txt
p03462,82,0,0,0,82,0,0,0,0,82,0,0,0,0,0,70,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03462/report.txt
p03469,59,28,31,28,0,0,0,26,0,31,2,0,0,26,0,0,2,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03469/report.txt
p03475,126,49,11,49,0,0,66,0,0,0,0,0,12,49,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03475/report.txt
p03484,66,0,1,0,65,0,0,0,0,65,1,0,0,0,0,64,1,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03484/report.txt
p03492,94,0,0,0,94,0,0,0,0,87,7,0,0,0,0,85,7,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03492/report.txt
p03494,123,6,117,6,0,0,0,6,0,117,0,0,0,6,0,1,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03494/report.txt
p03497,132,0,0,0,132,0,0,0,0,130,2,0,0,0,0,118,2,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03497/report.txt
p03500,124,0,0,0,124,0,0,0,0,124,0,0,0,0,0,122,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03500/report.txt
p03503,162,32,85,32,11,0,34,32,0,96,0,0,34,32,0,3,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03503/report.txt
p03543,63,3,60,3,0,0,0,3,0,60,0,0,0,3,0,0,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03543/report.txt
p03544,23,0,23,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,/data/bc/MyCatcher/outputs/tcases/cpp/p03544/report.txt
p03546,85,18,15,18,0,0,52,18,0,15,0,0,52,18,0,2,0,1.0,/data/bc/MyCatcher/outputs/tcases/cpp/p03546/report.txt
p03553,111,9,34,9,68,0,0,4,5,102,0,0,0,4,5,52,0,0.444444,/data/bc/MyCatcher/outputs/tcases/cpp/p03553/report.txt
