pid,status,tests_dir_size,variants_dir_size,variants_used,saved,found,agree,no_majority,tp_count,fp_count,precision,oracle_wrong_count,canonical_fail_count,summary_json,report_txt,detail_csv
p03087,ok,170,10,10,133,133,37,0,132,1,0.9924812030075187,1,0,outputs/tcases/cpp/p03087/summary.json,outputs/tcases/cpp/p03087/report.txt,outputs/tcases/cpp/p03087/detail.csv
p03088,ok,20,10,10,0,0,0,20,0,0,,0,0,outputs/tcases/cpp/p03088/summary.json,outputs/tcases/cpp/p03088/report.txt,outputs/tcases/cpp/p03088/detail.csv
p03089,ok,115,10,10,24,24,59,32,12,12,0.5,36,0,outputs/tcases/cpp/p03089/summary.json,outputs/tcases/cpp/p03089/report.txt,outputs/tcases/cpp/p03089/detail.csv
p03100,ok,43,10,10,0,0,0,43,0,0,,39,0,outputs/tcases/cpp/p03100/summary.json,outputs/tcases/cpp/p03100/report.txt,outputs/tcases/cpp/p03100/detail.csv
p03112,ok,144,10,10,25,25,18,101,21,4,0.84,47,0,outputs/tcases/cpp/p03112/summary.json,outputs/tcases/cpp/p03112/report.txt,outputs/tcases/cpp/p03112/detail.csv
p03126,ok,115,10,10,9,9,106,0,0,7,0.0,7,14,outputs/tcases/cpp/p03126/summary.json,outputs/tcases/cpp/p03126/report.txt,outputs/tcases/cpp/p03126/detail.csv
p03146,ok,45,10,10,2,2,43,0,2,0,1.0,0,0,outputs/tcases/cpp/p03146/summary.json,outputs/tcases/cpp/p03146/report.txt,outputs/tcases/cpp/p03146/detail.csv
p03148,ok,127,10,10,0,0,46,81,0,0,,29,0,outputs/tcases/cpp/p03148/summary.json,outputs/tcases/cpp/p03148/report.txt,outputs/tcases/cpp/p03148/detail.csv
p03191,ok,121,10,10,3,3,1,117,0,3,0.0,113,7,outputs/tcases/cpp/p03191/summary.json,outputs/tcases/cpp/p03191/report.txt,outputs/tcases/cpp/p03191/detail.csv
p03202,ok,101,10,10,38,38,7,56,0,37,0.0,80,6,outputs/tcases/cpp/p03202/summary.json,outputs/tcases/cpp/p03202/report.txt,outputs/tcases/cpp/p03202/detail.csv
p03203,ok,134,10,10,9,9,4,121,0,9,0.0,121,0,outputs/tcases/cpp/p03203/summary.json,outputs/tcases/cpp/p03203/report.txt,outputs/tcases/cpp/p03203/detail.csv
